date,spx,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1994-01-27,0.8103124579770693,-18.66361349717467,1994-01-01,0.3180024940002468,1994-01-01,0.3180024940002468,1994-01-01,-1.03712,1994-01-24,0.18725596501364078,0.6488390119991734,0.4615830469855326
1994-01-28,0.34528394230965986,-18.66361349717467,1994-01-01,0.3180024940002468,1994-01-01,0.3180024940002468,1994-01-01,-1.03712,1994-01-24,0.1924092619487758,0.6261611436186197,0.4337518816698439
1994-01-31,0.6060505286752615,-18.66361349717467,1994-01-01,0.3180024940002468,1994-01-01,0.3180024940002468,1994-01-01,-1.0219800000000001,1994-01-31,0.20134757311604048,0.6696270580146809,0.46827948489864046
1994-02-01,-0.41405134763001783,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-1.0219800000000001,1994-01-31,0.19916733296590883,0.6708869395913784,0.4717196066254695
1994-02-02,0.49500007737925955,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-1.0219800000000001,1994-01-31,0.20816904087400354,0.6683671764379834,0.4601981355639798
1994-02-03,-0.267995509373975,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-1.0219800000000001,1994-01-31,0.20703578791603017,0.6771863474748654,0.4701505595588352
1994-02-04,-2.293580556215513,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-1.0219800000000001,1994-01-31,0.44524300165830205,0.9606597022317859,0.5154167005734838
1994-02-07,0.41420494947619346,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.99825,1994-02-07,0.452656636872046,0.879397340534802,0.426740703662756
1994-02-08,-0.15061828697930935,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.99825,1994-02-07,0.43768370641002313,0.8604991168843407,0.42281541047431753
1994-02-09,0.364476901528743,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.99825,1994-02-07,0.38503062862688764,0.837821248503787,0.4527906198768994
1994-02-10,-0.8155500387073467,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.99825,1994-02-07,0.41264201960267766,0.8970356826085659,0.48439366300588826
1994-02-11,0.2662096574072237,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.99825,1994-02-07,0.415860037085449,0.9108943799522377,0.49503434286678866
1994-02-14,0.01063748786904739,4.9837833201875625,1994-02-01,0.051804551274958754,1994-02-01,0.051804551274958754,1994-02-01,-0.9685,1994-02-14,0.4100014702906476,0.8995554457619607,0.4895539754713131
