date,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1999-06-22,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.33549,1999-06-21,1.398630676786035,1.3669715587773732,-0.031659118008661835
1999-06-23,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.33549,1999-06-21,1.3820476370066088,1.3430337415351867,-0.03901389547142209
1999-06-24,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.33549,1999-06-21,1.3132919092209818,1.4526434242896622,0.13935151506868038
1999-06-25,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.33549,1999-06-21,1.1792689668164709,1.3707511698649977,0.1914822030485268
1999-06-28,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.31655,1999-06-28,1.133617794872673,1.4255559511664004,0.29193815629372755
1999-06-29,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.31655,1999-06-28,1.0874563566113393,1.4179967289911513,0.33054037237981193
1999-06-30,-3.2810514119197443,1999-06-01,-0.06724919464140555,1999-06-01,-0.06724919464140555,1999-06-01,-0.31655,1999-06-28,1.0844743433721444,1.3285451322395672,0.24407078886742273
1999-07-01,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.31655,1999-06-28,1.0852945384621153,1.2403534459010817,0.15505890743896633
1999-07-02,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.31655,1999-06-28,1.1101179016783411,1.175469501446563,0.06535159976822191
1999-07-06,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.29383,1999-07-05,1.1063361315822062,1.3058672254104793,0.19953109382827305
1999-07-07,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.29383,1999-07-05,0.910756762844553,1.281929528319963,0.37117276547541
1999-07-08,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.29383,1999-07-05,0.8994834747224228,1.2750001411995926,0.37551666647716975
1999-07-09,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.29383,1999-07-05,0.8413160787320525,1.1313735982014852,0.2900575194694327
1999-07-12,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.26615,1999-07-12,0.8449122551199125,1.242873146575608,0.39796089145569546
1999-07-13,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.26615,1999-07-12,0.7858489292458694,1.2567319208163485,0.4708829915704792
1999-07-14,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.26615,1999-07-12,0.768078988097329,1.2416132361625096,0.47353424806518063
1999-07-15,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.26615,1999-07-12,0.7982795073032153,1.1767294118596612,0.3784499045564459
1999-07-16,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.26615,1999-07-12,0.8035094331923299,1.0973568581095232,0.2938474249171933
1999-07-19,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.23673,1999-07-19,0.6070593259234086,1.2012970641567267,0.594237738233318
1999-07-20,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.23673,1999-07-19,0.8029336521118285,1.3726410354846452,0.5697073833728167
1999-07-21,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.23673,1999-07-19,0.8018979375882463,1.3518528741235343,0.5499549365352879
1999-07-22,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.23673,1999-07-19,0.8736446565650212,1.4520134690831132,0.578368812518092
1999-07-23,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.23673,1999-07-19,0.8342249178143324,1.469021899204929,0.6347969813905967
1999-07-26,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.20931,1999-07-26,0.8531402196551171,1.5735920604586817,0.7204518408035646
1999-07-27,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.20931,1999-07-26,0.8320355169292281,1.463352422497657,0.631316905568429
1999-07-28,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.20931,1999-07-26,0.8335784359193152,1.439414725407141,0.6058362894878258
1999-07-29,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.20931,1999-07-26,0.9142243326235462,1.5446148418674428,0.6303905092438966
1999-07-30,6.818005460405807,1999-07-01,0.5938595874076746,1999-07-01,0.5938595874076746,1999-07-01,-0.20931,1999-07-26,0.8508178968385284,1.552174064042692,0.7013561672041636
1999-08-02,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.18594,1999-08-02,0.7401904040051904,1.6120184869964878,0.8718280829912973
1999-08-03,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.18594,1999-08-02,0.7327898920460036,1.6548544798284672,0.9220645877824636
1999-08-04,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.18594,1999-08-02,0.7826609942409956,1.7260377360451369,0.9433767418041413
1999-08-05,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.18594,1999-08-02,0.7990133162763429,1.7014700837480716,0.9024567674717288
1999-08-06,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.18594,1999-08-02,0.8328815671302293,1.675642521037908,0.8427609539076787
1999-08-09,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.16937,1999-08-09,0.8340673903925949,1.7424162109604038,0.9083488205678089
1999-08-10,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.16937,1999-08-09,0.8890754296587854,1.7921815909127536,0.9031061612539683
1999-08-11,-1.2662213192417227,1999-08-01,0.4345177522545818,1999-08-01,0.4345177522545818,1999-08-01,-0.16937,1999-08-09,0.9995269634010289,1.5994196231688453,0.5998926597678165
