date,spx,dhoust,ip,nai,nfci,Rvol22,vix,vrp
1992-07-14,0.6750365191641627,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93915,0.42818655320441673,0.8504200642707612,0.4222335110663445
1992-07-15,-0.13895557306993211,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93915,0.42769707337264173,0.7886858958489883,0.36098882247634656
1992-07-16,0.10543527136128716,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93915,0.4274429104483961,0.7729373761402705,0.34549446569187436
1992-07-17,-0.46089990354243326,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93915,0.4265690160236531,0.7937254173497111,0.36715640132605804
1992-07-20,-0.45094428230347816,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.94134,0.3341858167009015,0.7975050284373358,0.46331921173643437
1992-07-21,0.0024192494368691086,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.94134,0.32942322095129467,0.7937254173497111,0.46430219639841647
1992-07-22,-0.6863253320097407,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.94134,0.3302092507149252,0.854829630564935,0.5246203798500098
1992-07-23,0.27946068065247687,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.94134,0.3335556530187914,0.8397110660627664,0.5061554130439749
1992-07-24,-0.11654538834191541,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.94134,0.3330307105535526,0.8422308268131278,0.5092001162595752
1992-07-27,-0.014577728608067275,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93983,0.33292892612681957,0.8756176717743757,0.5426887456475561
1992-07-28,1.4426179519290372,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93983,0.42607905871919854,0.8220727408102362,0.39599368209103764
1992-07-29,1.121779425913605,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93983,0.4829741753863805,0.8466403931073015,0.36366621772092106
1992-07-30,0.399457457867225,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93983,0.40719154988277945,0.8504200642707612,0.4432285143879818
1992-07-31,0.06838056358660083,-0.5253952541158569,0.8938367534931047,0.8938367534931047,-0.93983,0.40566118018472147,0.8296320230613206,0.4239708428765991
1992-08-03,0.20723071008816873,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.93496,0.34701017282955793,0.8712081054802019,0.524197932650644
1992-08-04,-0.17187855242379868,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.93496,0.34505874922887175,0.8554595857714841,0.5104008365426123
1992-08-05,-0.5126661612871786,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.93496,0.34557576019075853,0.8705781502736528,0.5250023900828943
1992-08-06,-0.37969767391512477,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.93496,0.29333436899829923,0.8964057129838163,0.6030713439855171
1992-08-07,-0.4073984341790293,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.93496,0.29748208567383916,0.8781374325247371,0.5806553468508979
1992-08-10,0.12883421396159278,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.9277,0.25650649592027147,0.9140440983121816,0.6575376023919102
1992-08-11,-0.12406231353310204,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.9277,0.2568035951468564,0.9505806592303401,0.6937770640834837
1992-08-12,-0.2677238122018366,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.9277,0.2598964406819293,0.9373519002719837,0.6774554595900544
1992-08-13,-0.011965815476600028,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.9277,0.23919048061532708,0.9663291789390579,0.7271386983237308
1992-08-14,0.520509421597648,7.360615304897511,-0.5491921852229353,-0.5491921852229353,-0.9277,0.2506278172828146,0.9234931861070782,0.6728653688242636
