date,GM_dhoust,GM_ip,GM_nai,GM_nfci,GM_Rvol22,GM_vix,GM_vrp,GM_vix_dhoust,GM_vix_ip,GM_vix_nai,GM_vix_nfci,GARCH11
2023-08-18,0.6891180164141676,0.712581732496341,0.712581732496341,0.5959339778689947,0.7276087755494829,0.41819103148512127,0.5926568797023585,0.6313831363981401,0.44464906826251216,0.44464906826251216,0.510760641907445,0.8064691873640759
2023-08-21,0.6983245928281491,0.7222943301542942,0.7222943301542942,0.6031422752646075,0.7360259362858529,0.4191885644723046,0.6017189491010263,0.6333659787116206,0.4458424961847561,0.4458424961847561,0.5119579810624117,0.8108652721158028
2023-08-22,0.707293435130015,0.7317686531470873,0.7317686531470873,0.6101689833513819,0.7441139919921342,0.420093519229606,0.610609008023078,0.6351742656873364,0.44692879540507013,0.44692879540507013,0.5130439778471901,0.8151780006585152
2023-08-23,0.7160306821389661,0.7410105469568516,0.7410105469568516,0.6170186766738011,0.7518858104421788,0.4209144876820627,0.6193303214627178,0.6368233639360033,0.447917582389236,0.447917582389236,0.5140289861563705,0.8194095009374686
2023-08-24,0.7245423141563496,0.7500257136612093,0.7500257136612093,0.6236958145357684,0.7593537562889842,0.4216592643623235,0.6278860924400925,0.6383272873011978,0.4488176103757913,0.4488176103757913,0.5149223970603006,0.8235618216557513
2023-08-25,0.7328341570589393,0.7588197154513501,0.7588197154513501,0.6302047439037144,0.7665297107363627,0.4223349204143928,0.6362794631776443,0.6396988159473574,0.4496368468640893,0.4496368468640893,0.5157327283395623,0.8276369364367155
2023-08-28,0.74091188628652,0.7673979780638006,0.7673979780638006,0.6365497022365693,0.7734250904414633,0.4229478707292952,0.6445135162541334,0.640949604964119,0.450382544146601,0.450382544146601,0.5164677056935,0.8316367477024817
2023-08-29,0.7487810307265012,0.7757657941280032,0.7757657941280032,0.6427348202444434,0.7800508656782171,0.4235039348500684,0.6525912757367577,0.6420902834099043,0.45106130350984747,0.45106130350984747,0.5171343363970483,0.8355630902921114
2023-08-30,0.7564469764982229,0.7839283264317707,0.7839283264317707,0.6487641245778126,0.7864175777906052,0.42400839222433445,0.6605157082917819,0.6431305446364123,0.45167913367230006,0.45167913367230006,0.5177389761080984,0.8394177348407438
2023-08-31,0.763914970639543,0.7918906111066304,0.7918906111066304,0.654641540448958,0.7925353559635167,0.424466032329036,0.6682897242740856,0.6440792286615855,0.45224150397657187,0.45224150397657187,0.518287389462348,0.8432023909389552
