Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
06/09/1972,0.0759260571812997,0.131741708431068,0.206879832839923,-2.12496227348309,-0.687221072687866,-0.586069304835093
06/16/1972,0.112618325096155,0.219666029873471,0.242762917853836,-2.14145904705933,-0.632957047903069,-0.572252334300959
06/23/1972,0.162324838626416,0.33747624713059,0.29275438002988,-2.16063185827522,-0.578752546270852,-0.557638278429312
06/30/1972,0.216840562337998,0.466479055278467,0.348775461714045,-2.18281967757614,-0.52462449718934,-0.542300318663095
07/07/1972,0.266876366855037,0.585500593690234,0.401608542448026,-2.20825036011161,-0.47055221254438,-0.526319418177045
07/14/1972,0.304489350542508,0.676652418459846,0.443292626497266,-2.23705985591667,-0.416526515733239,-0.509798004412783
07/21/1972,0.322975800389076,0.724496185377253,0.466976256136379,-2.26922245055604,-0.362499401398509,-0.492826324168788
07/28/1972,0.318236189730016,0.717725893220142,0.468325932743345,-2.30458175713703,-0.308392179840041,-0.47548710268628
08/04/1972,0.289430496980396,0.65226439474271,0.446433787485528,-2.34269381343318,-0.254110163875551,-0.457856717996001
08/11/1972,0.238657265718695,0.53208424676357,0.402722055756614,-2.38292060637215,-0.199508513112346,-0.440006006683244
08/18/1972,0.171005956166124,0.368626435995053,0.342417297952729,-2.42440113456562,-0.144443172701597,-0.422001877275642
08/25/1972,0.0931752872453191,0.180457106128254,0.271820546483154,-2.4660728931165,-0.0887850421712425,-0.403910779360361
09/01/1972,0.0138742151663466,-0.00780448610224796,0.199278551377626,-2.50676796717028,-0.0324360857727128,-0.385799669386381
09/08/1972,-0.0577307841808322,-0.170490542876937,0.133440151913746,-2.54529034661432,0.0247020586066092,-0.367736819310863
09/15/1972,-0.115329633033641,-0.290246819290386,0.0802005549298033,-2.58059232010244,0.0826648273993624,-0.349794963840479
09/22/1972,-0.155653534934074,-0.35994521968661,0.042510391759265,-2.61187695742164,0.141511437396713,-0.332052964810947
09/29/1972,-0.178882625448834,-0.383064250349065,0.0200487638809482,-2.63867057928051,0.201327128677089,-0.31459649626743
10/06/1972,-0.188790132365222,-0.372502189237451,0.00913981153953013,-2.66089827032556,0.26223011812059,-0.297521889111006
10/13/1972,-0.191339024881322,-0.344786731394539,0.00410887085514947,-2.6788917861124,0.324363470529962,-0.280939662710136
10/20/1972,-0.191862588848216,-0.313769255500843,-3.68534926985428e-05,-2.69327324745708,0.38791323139534,-0.264944059387525
10/27/1972,-0.1951740092492,-0.290454395946931,-0.00774686334546327,-2.70492680582954,0.45308337831696,-0.249625504952646
11/03/1972,-0.204357486552428,-0.282111963768854,-0.0216141427774964,-2.71462125281886,0.520066345273072,-0.235056201722258
11/10/1972,-0.220408376803983,-0.291699337528327,-0.042387317784023,-2.72341577827387,0.589119361804253,-0.221284161952271
11/17/1972,-0.243289634495353,-0.322934642145293,-0.0692558966754709,-2.73188627727116,0.660437897475912,-0.208335423260758
11/24/1972,-0.271306207375699,-0.376074099541541,-0.100203916064574,-2.740626238762,0.734198998571771,-0.196217302890477
