Date;P_I;EU_H;C_H;SO_I;CFNAI;CFNAI_MA3;DIFFUSION
1971:02;-0,05;-0,09;0,07;0,05;-0,02;0,70;0,21
1971:03;-0,11;-0,07;0,07;0,04;-0,07;0,15;0,00
1971:04;0,18;0,10;0,15;0,01;0,45;0,12;0,03
1971:05;0,11;0,15;0,05;0,10;0,41;0,26;0,24
1971:06;0,11;-0,09;0,17;0,20;0,39;0,41;0,41
1971:07;0,01;0,00;0,06;-0,22;-0,14;0,22;0,16
1971:08;-0,31;-0,02;0,14;0,11;-0,08;0,05;-0,01
1971:09;0,56;0,12;0,21;0,08;0,98;0,25;0,12
1971:10;0,35;0,01;0,13;-0,06;0,43;0,44;0,31
1971:11;0,12;0,13;0,15;0,25;0,64;0,68;0,53
1971:12;0,34;0,15;0,13;0,21;0,83;0,64;0,56
1972:01;0,82;0,24;0,11;0,22;1,39;0,96;0,71
1972:02;0,29;0,17;0,13;-0,21;0,39;0,87;0,71
1972:03;0,25;0,23;0,28;0,26;1,02;0,93;0,71
1972:04;0,33;0,16;0,12;0,10;0,72;0,71;0,69
1972:05;0,03;0,19;0,16;0,11;0,48;0,74;0,62
1972:06;0,09;0,19;0,14;0,07;0,50;0,57;0,55
1972:07;0,02;-0,10;0,15;-0,11;-0,04;0,31;0,22
1972:08;0,48;0,33;0,17;0,48;1,45;0,64;0,41
1972:09;0,26;0,11;0,17;0,32;0,85;0,75;0,44
1972:10;0,56;0,28;0,27;0,23;1,33;1,21;0,78
1972:11;0,43;0,27;0,16;0,40;1,25;1,14;0,76
1972:12;0,44;0,28;0,19;0,28;1,18;1,26;0,79
1973:01;0,25;0,28;0,22;0,29;1,04;1,16;0,75
1973:02;0,55;0,38;0,17;0,12;1,21;1,14;0,71
1973:03;0,09;0,20;0,12;0,03;0,44;0,90;0,53
1973:04;-0,07;0,10;0,01;0,01;0,05;0,57;0,29
1973:05;0,22;0,10;0,09;0,01;0,43;0,31;0,19
1973:06;-0,01;0,16;0,07;-0,02;0,20;0,23;0,14
1973:07;0,08;0,05;0,13;0,23;0,48;0,37;0,28
1973:08;-0,12;0,05;-0,04;-0,25;-0,36;0,11;0,05
1973:09;0,28;0,05;0,19;0,09;0,62;0,25;0,19
1973:10;0,30;0,21;-0,03;0,55;1,03;0,43;0,30
1973:11;0,20;0,16;0,04;0,37;0,76;0,80;0,60
1973:12;-0,14;-0,03;-0,15;-0,10;-0,42;0,46;0,35
1974:01;-0,29;-0,03;0,00;0,10;-0,22;0,04;0,03
1974:02;-0,19;0,01;-0,03;-0,05;-0,26;-0,30;-0,28
1974:03;-0,05;-0,01;0,03;0,07;0,05;-0,15;-0,24
1974:04;-0,20;-0,14;0,05;-0,09;-0,37;-0,20;-0,30
1974:05;0,21;0,13;0,01;0,12;0,47;0,05;-0,07
1974:06;-0,07;-0,10;-0,03;-0,09;-0,30;-0,07;-0,17
1974:07;-0,09;-0,13;0,02;-0,07;-0,27;-0,04;-0,17
1974:08;-0,39;-0,12;0,05;-0,24;-0,70;-0,42;-0,50
1974:09;-0,15;-0,28;-0,24;-0,18;-0,86;-0,61;-0,56
1974:10;-0,26;-0,26;-0,16;-0,43;-1,11;-0,89;-0,65
1974:11;-1,24;-0,66;-0,21;-0,32;-2,43;-1,47;-0,73
1974:12;-1,57;-0,85;-0,16;-0,70;-3,28;-2,28;-0,81
1975:01;-0,82;-0,71;0,06;-0,28;-1,75;-2,49;-0,83
1975:02;-1,03;-0,65;-0,02;-0,31;-2,01;-2,35;-0,78
1975:03;-0,61;-0,46;-0,21;-0,68;-1,97;-1,91;-0,79
1975:04;0,00;-0,25;-0,05;0,05;-0,24;-1,41;-0,62
1975:05;-0,13;-0,03;0,18;-0,22;-0,20;-0,80;-0,44
1975:06;0,18;-0,06;-0,08;0,09;0,12;-0,11;-0,16
1975:07;0,40;0,13;0,01;0,08;0,63;0,18;0,08
1975:08;0,27;0,32;-0,02;0,09;0,67;0,47;0,34
1975:09;0,48;0,13;-0,02;0,01;0,60;0,63;0,49
1975:10;0,13;0,16;-0,03;0,02;0,29;0,52;0,43
1975:11;0,04;0,12;0,03;-0,06;0,13;0,34;0,30
1975:12;0,40;0,25;0,06;0,13;0,85;0,42;0,42
1976:01;0,44;0,42;0,11;0,39;1,37;0,78;0,62
1976:02;0,38;0,29;-0,02;0,13;0,78;1,00;0,78
1976:03;0,06;0,16;0,04;0,13;0,38;0,85;0,68
1976:04;0,16;0,05;0,07;0,03;0,31;0,49;0,54
1976:05;0,16;0,12;-0,10;0,02;0,19;0,30;0,39
1976:06;-0,03;-0,07;0,12;0,17;0,19;0,23;0,23
1976:07;0,20;0,07;0,01;-0,01;0,28;0,22;0,25
1976:08;0,15;0,06;-0,02;0,06;0,25;0,24;0,31
1976:09;0,07;0,15;0,04;0,06;0,31;0,28;0,37
1976:10;-0,03;-0,08;0,04;-0,27;-0,33;0,08;0,12
1976:11;0,45;0,20;0,07;0,23;0,95;0,31;0,23
1976:12;0,34;0,14;0,20;0,39;1,08;0,57;0,46
1977:01;-0,24;0,18;-0,06;-0,09;-0,20;0,61;0,52
1977:02;0,54;0,25;0,13;0,19;1,11;0,66;0,54
1977:03;0,39;0,35;0,08;0,21;1,04;0,65;0,48
1977:04;0,33;0,28;0,08;-0,04;0,64;0,93;0,70
1977:05;0,24;0,26;0,05;0,07;0,63;0,77;0,65
1977:06;0,27;0,20;0,06;0,16;0,69;0,65;0,64
1977:07;0,02;0,19;0,14;-0,01;0,33;0,55;0,54
1977:08;0,05;0,13;0,05;0,04;0,27;0,43;0,51
1977:09;0,03;0,25;0,08;0,03;0,40;0,33;0,41
1977:10;0,07;0,15;0,15;0,05;0,42;0,36;0,43
1977:11;0,06;0,25;0,11;0,08;0,50;0,44;0,41
1977:12;0,22;0,22;0,08;0,25;0,77;0,56;0,52
1978:01;-0,60;0,01;-0,12;-0,51;-1,23;0,01;0,30
1978:02;0,23;0,24;0,18;0,35;1,00;0,18;0,43
1978:03;0,64;0,34;0,18;0,12;1,28;0,35;0,47
1978:04;0,55;0,48;0,18;0,50;1,71;1,33;0,85
1978:05;0,08;0,18;0,09;0,01;0,35;1,11;0,68
1978:06;0,24;0,34;0,12;0,08;0,79;0,95;0,67
1978:07;-0,04;0,02;0,00;-0,08;-0,10;0,35;0,32
1978:08;0,13;0,18;0,14;0,23;0,69;0,46;0,47
1978:09;0,12;0,14;0,04;-0,04;0,26;0,28;0,34
1978:10;0,22;0,25;0,10;0,14;0,71;0,55;0,63
1978:11;0,25;0,27;0,11;0,06;0,69;0,55;0,60
1978:12;0,20;0,11;0,13;0,05;0,48;0,63;0,63
1979:01;-0,24;0,07;-0,04;-0,18;-0,39;0,26;0,35
1979:02;0,07;0,10;0,03;-0,09;0,13;0,07;0,23
1979:03;0,15;0,24;0,08;0,51;0,98;0,24;0,30
1979:04;-0,58;-0,30;-0,05;-0,48;-1,41;-0,10;0,17
1979:05;0,31;0,41;0,07;0,34;1,12;0,23;0,31
1979:06;-0,07;0,14;0,04;-0,17;-0,07;-0,12;0,03
1979:07;-0,08;-0,02;0,00;-0,07;-0,17;0,30;0,08
1979:08;-0,40;-0,12;0,19;-0,09;-0,43;-0,22;-0,26
1979:09;-0,05;0,07;0,07;-0,12;-0,04;-0,21;-0,25
1979:10;0,10;0,02;-0,05;-0,08;-0,01;-0,16;-0,12
1979:11;-0,15;-0,10;0,04;-0,10;-0,32;-0,12;-0,14
1979:12;-0,02;0,01;-0,04;-0,11;-0,16;-0,16;-0,20
1980:01;0,04;-0,08;0,06;0,11;0,13;-0,12;-0,13
1980:02;-0,12;-0,09;-0,15;-0,17;-0,52;-0,19;-0,16
1980:03;-0,37;-0,11;-0,22;-0,45;-1,15;-0,51;-0,35
1980:04;-0,84;-0,59;-0,25;-0,52;-2,20;-1,29;-0,74
1980:05;-1,13;-0,56;-0,17;-0,44;-2,30;-1,88;-0,87
1980:06;-0,65;-0,38;0,01;-0,18;-1,20;-1,90;-0,85
1980:07;-0,45;-0,33;0,07;0,11;-0,60;-1,37;-0,69
1980:08;0,07;0,20;-0,01;0,05;0,31;-0,50;-0,22
1980:09;0,48;0,10;-0,02;0,43;0,98;0,23;0,17
1980:10;0,47;0,17;0,13;0,34;1,10;0,80;0,60
1980:11;0,52;0,17;-0,03;-0,06;0,60;0,90;0,58
1980:12;0,15;0,12;0,01;0,04;0,32;0,68;0,58
1981:01;-0,21;-0,04;0,04;-0,06;-0,27;0,22;0,23
1981:02;-0,27;-0,03;-0,05;-0,08;-0,42;-0,12;-0,05
1981:03;0,04;0,09;-0,02;-0,21;-0,09;-0,26;-0,19
1981:04;-0,02;0,06;-0,11;0,03;-0,04;-0,18;-0,05
1981:05;0,16;-0,02;-0,09;-0,11;-0,07;-0,07;0,07
1981:06;-0,12;-0,02;-0,03;-0,11;-0,28;-0,13;-0,03
1981:07;0,10;0,06;-0,08;-0,04;0,03;-0,10;-0,10
1981:08;-0,12;-0,12;-0,01;-0,20;-0,44;-0,23;-0,34
1981:09;-0,27;-0,28;-0,20;-0,21;-0,95;-0,45;-0,56
1981:10;-0,41;-0,29;-0,23;-0,32;-1,25;-0,88;-0,81
1981:11;-0,54;-0,37;-0,16;-0,26;-1,32;-1,18;-0,87
1981:12;-0,64;-0,43;-0,08;-0,36;-1,52;-1,37;-0,86
1982:01;-0,93;-0,50;-0,18;-0,15;-1,77;-1,54;-0,86
1982:02;0,76;0,01;0,00;0,12;0,90;-0,80;-0,49
1982:03;-0,42;-0,32;-0,15;-0,05;-0,94;-0,60;-0,46
1982:04;-0,39;-0,40;-0,10;-0,16;-1,05;-0,36;-0,45
1982:05;-0,31;-0,16;-0,04;-0,08;-0,59;-0,86;-0,67
1982:06;-0,20;-0,41;-0,24;-0,30;-1,15;-0,93;-0,66
1982:07;-0,22;-0,37;0,00;-0,19;-0,78;-0,84;-0,61
1982:08;-0,40;-0,28;-0,09;-0,28;-1,06;-1,00;-0,70
1982:09;-0,21;-0,33;0,05;-0,07;-0,57;-0,80;-0,62
1982:10;-0,47;-0,41;-0,02;-0,33;-1,23;-0,95;-0,67
1982:11;-0,27;-0,24;0,08;-0,07;-0,50;-0,76;-0,59
1982:12;-0,31;-0,10;-0,01;-0,08;-0,50;-0,74;-0,57
1983:01;0,61;0,14;-0,01;0,37;1,10;0,04;-0,17
1983:02;-0,20;-0,11;0,03;-0,17;-0,45;0,05;-0,17
1983:03;0,25;0,10;0,14;0,21;0,70;0,45;0,23
1983:04;0,42;0,19;0,04;0,00;0,65;0,30;0,24
1983:05;0,29;0,24;0,11;0,27;0,90;0,75;0,66
1983:06;0,22;0,26;0,16;0,46;1,10;0,88;0,71
1983:07;0,53;0,40;0,09;0,01;1,03;1,01;0,75
1983:08;0,35;0,02;0,01;0,05;0,42;0,85;0,63
1983:09;0,59;0,59;0,08;0,25;1,52;0,99;0,65
1983:10;0,28;0,29;0,12;0,24;0,94;0,96;0,68
1983:11;0,20;0,29;0,08;0,16;0,73;1,06;0,76
1983:12;0,21;0,26;0,11;0,36;0,93;0,87;0,74
1984:01;0,65;0,32;0,15;0,11;1,22;0,96;0,76
1984:02;0,26;0,38;-0,02;0,03;0,65;0,94;0,72
1984:03;0,16;0,13;0,05;0,05;0,39;0,75;0,62
1984:04;0,18;0,21;0,13;0,03;0,55;0,53;0,56
1984:05;0,11;0,21;0,09;0,15;0,56;0,50;0,61
1984:06;0,13;0,22;0,13;0,10;0,58;0,56;0,67
1984:07;0,07;0,08;-0,05;-0,02;0,08;0,41;0,53
1984:08;-0,03;0,02;0,01;-0,05;-0,04;0,21;0,33
1984:09;-0,13;0,11;0,11;-0,14;-0,06;-0,01;0,09
1984:10;0,05;0,08;-0,01;0,01;0,13;0,01;0,11
1984:11;0,04;0,11;0,18;0,06;0,39;0,15;0,28
1984:12;0,00;0,05;0,01;-0,02;0,05;0,19;0,33
1985:01;-0,15;0,00;0,10;-0,05;-0,10;0,11;0,14
1985:02;-0,05;0,00;0,05;-0,04;-0,04;-0,03;-0,02
1985:03;0,07;0,13;0,05;0,10;0,34;0,07;0,06
1985:04;-0,19;-0,05;0,08;-0,12;-0,28;0,01;0,05
1985:05;0,00;0,07;0,14;0,16;0,37;0,14;0,13
1985:06;-0,07;-0,07;-0,03;-0,34;-0,52;-0,15;-0,13
1985:07;-0,27;0,00;0,08;-0,04;-0,23;-0,13;-0,14
1985:08;0,06;0,06;0,15;0,26;0,53;-0,07;-0,07
1985:09;0,04;0,06;0,21;-0,06;0,25;0,18;0,10
1985:10;-0,15;0,04;-0,17;-0,12;-0,41;0,13;0,14
1985:11;0,12;0,06;0,05;0,06;0,29;0,05;0,10
1985:12;0,18;0,04;0,15;-0,10;0,28;0,05;0,16
1986:01;0,24;0,04;0,10;0,20;0,59;0,38;0,36
1986:02;-0,29;-0,12;0,01;-0,14;-0,54;0,11;0,02
1986:03;-0,21;-0,01;0,09;-0,07;-0,21;-0,05;-0,20
1986:04;0,04;0,01;0,16;0,28;0,48;-0,09;-0,24
1986:05;0,02;-0,02;0,12;-0,25;-0,13;0,05;-0,05
1986:06;-0,18;-0,07;0,02;0,10;-0,14;0,07;-0,01
1986:07;0,10;0,07;0,10;0,03;0,31;0,01;0,04
1986:08;-0,01;0,04;0,11;-0,05;0,09;0,09;0,07
1986:09;0,02;0,04;0,33;0,28;0,67;0,35;0,29
1986:10;0,08;0,00;-0,20;-0,16;-0,28;0,16;0,17
1986:11;0,06;0,06;-0,03;-0,08;0,02;0,14;0,22
1986:12;0,28;0,08;0,33;0,25;0,93;0,22;0,30
1987:01;-0,20;0,00;-0,37;-0,41;-0,99;-0,01;0,14
1987:02;0,45;0,18;0,30;0,53;1,45;0,46;0,36
1987:03;-0,01;0,08;0,06;-0,01;0,11;0,19;0,18
1987:04;0,15;0,10;0,07;-0,09;0,24;0,60;0,45
1987:05;0,25;0,16;0,02;-0,02;0,40;0,25;0,34
1987:06;0,11;0,02;0,08;0,07;0,28;0,31;0,51
1987:07;0,26;0,16;0,06;0,16;0,64;0,44;0,63
1987:08;0,23;0,11;0,12;-0,15;0,31;0,41;0,62
1987:09;0,15;0,08;-0,05;0,25;0,44;0,46;0,60
1987:10;0,49;0,19;-0,03;0,01;0,67;0,47;0,52
1987:11;0,15;0,12;0,04;-0,08;0,23;0,44;0,50
1987:12;0,23;0,08;0,08;0,12;0,52;0,47;0,54
1988:01;-0,09;-0,02;0,03;-0,06;-0,15;0,20;0,29
1988:02;0,13;0,14;0,02;0,19;0,49;0,29;0,38
1988:03;0,05;0,06;0,11;0,20;0,42;0,25;0,34
1988:04;0,22;0,14;-0,04;-0,07;0,25;0,39;0,52
1988:05;-0,13;0,01;0,06;0,03;-0,04;0,21;0,35
1988:06;0,07;0,13;0,03;0,19;0,43;0,21;0,37
1988:07;-0,02;0,05;0,01;-0,06;-0,02;0,12;0,22
1988:08;0,09;-0,09;0,05;-0,02;0,03;0,14;0,15
1988:09;-0,08;0,07;-0,04;0,08;0,03;0,01;0,01
1988:10;0,16;0,13;0,11;0,06;0,47;0,18;0,29
1988:11;0,05;0,08;0,05;0,05;0,23;0,24;0,47
1988:12;0,15;0,07;0,06;0,25;0,53;0,41;0,60
1989:01;0,14;0,08;0,04;-0,04;0,22;0,33;0,48
1989:02;-0,26;0,07;-0,08;-0,19;-0,45;0,10;0,22
1989:03;-0,01;0,01;-0,01;-0,17;-0,18;-0,14;-0,03
1989:04;-0,06;0,00;0,05;0,12;0,11;-0,17;-0,12
1989:05;-0,34;-0,06;-0,03;-0,16;-0,60;-0,22;-0,25
1989:06;-0,04;-0,05;0,00;-0,10;-0,20;-0,23;-0,32
1989:07;-0,53;-0,04;0,02;-0,27;-0,82;-0,54;-0,54
1989:08;0,25;-0,04;0,10;0,32;0,63;-0,13;-0,22
1989:09;-0,19;-0,09;-0,06;-0,17;-0,50;-0,23;-0,30
1989:10;-0,13;-0,01;-0,06;-0,20;-0,41;-0,09;-0,22
1989:11;0,01;-0,01;0,00;0,12;0,12;-0,26;-0,22
1989:12;0,04;-0,07;0,03;-0,01;-0,01;-0,10;-0,02
1990:01;-0,20;0,14;0,12;-0,28;-0,22;-0,04;0,01
1990:02;0,30;0,05;-0,10;0,27;0,52;0,10;0,04
1990:03;0,10;-0,04;-0,01;0,09;0,14;0,15;0,10
1990:04;-0,17;-0,17;-0,04;-0,29;-0,68;-0,01;-0,06
1990:05;0,02;-0,05;-0,07;0,12;0,01;-0,18;-0,17
1990:06;0,05;-0,05;-0,02;-0,04;-0,05;-0,24;-0,26
1990:07;-0,15;-0,20;-0,04;-0,19;-0,58;-0,21;-0,25
1990:08;-0,03;-0,23;-0,08;0,11;-0,22;-0,28;-0,34
1990:09;-0,11;-0,18;-0,08;-0,40;-0,77;-0,52;-0,52
1990:10;-0,40;-0,25;-0,15;-0,13;-0,93;-0,64;-0,55
1990:11;-0,54;-0,36;-0,07;-0,38;-1,35;-1,02;-0,77
1990:12;-0,40;-0,16;-0,18;-0,19;-0,92;-1,07;-0,82
1991:01;-0,33;-0,26;-0,28;-0,18;-1,05;-1,11;-0,79
1991:02;-0,38;-0,40;-0,01;-0,03;-0,83;-0,94;-0,72
1991:03;-0,36;-0,26;0,02;-0,25;-0,85;-0,91;-0,70
1991:04;0,01;-0,18;-0,14;0,31;0,00;-0,56;-0,48
1991:05;0,18;-0,23;-0,07;0,10;-0,01;-0,29;-0,27
1991:06;0,26;0,00;-0,08;-0,14;0,04;0,01;-0,03
1991:07;0,02;-0,13;-0,03;0,28;0,13;0,05;0,00
1991:08;0,00;-0,09;-0,12;-0,13;-0,33;-0,05;-0,21
1991:09;0,31;-0,03;-0,07;0,06;0,26;0,02;-0,14
1991:10;-0,10;-0,14;-0,14;-0,01;-0,38;-0,15;-0,36
1991:11;-0,12;-0,12;-0,04;-0,08;-0,36;-0,16;-0,35
1991:12;-0,23;-0,15;-0,05;-0,35;-0,78;-0,51;-0,65
1992:01;-0,28;-0,14;0,11;0,24;-0,07;-0,40;-0,51
1992:02;0,24;-0,12;-0,02;0,01;0,11;-0,25;-0,31
1992:03;0,31;0,01;-0,06;0,16;0,41;0,15;0,03
1992:04;0,18;-0,02;-0,06;0,10;0,20;0,24;0,24
1992:05;0,15;0,00;0,00;-0,18;-0,03;0,20;0,26
1992:06;-0,01;-0,08;-0,04;0,17;0,04;0,07;0,10
1992:07;0,27;-0,05;-0,03;0,20;0,39;0,13;0,04
1992:08;-0,21;-0,02;-0,03;-0,33;-0,59;-0,05;-0,16
1992:09;-0,02;-0,08;0,01;0,17;0,08;-0,04;-0,15
1992:10;0,15;0,04;0,01;-0,01;0,19;-0,10;-0,15
1992:11;0,07;0,06;-0,05;0,01;0,10;0,12;0,15
1992:12;0,10;0,04;0,04;0,25;0,43;0,24;0,31
1993:01;0,08;0,14;-0,03;0,02;0,21;0,24;0,37
1993:02;0,10;0,10;-0,07;-0,01;0,13;0,25;0,35
1993:03;-0,09;-0,12;-0,12;-0,14;-0,47;-0,05;0,09
1993:04;0,07;0,08;0,08;0,00;0,22;-0,04;0,01
1993:05;-0,17;0,10;0,01;-0,02;-0,08;-0,11;-0,14
1993:06;-0,06;-0,02;-0,02;0,12;0,01;0,05;-0,01
1993:07;0,03;0,08;0,03;-0,16;-0,01;-0,03;0,00
1993:08;-0,10;0,06;-0,04;0,05;-0,02;-0,01;0,04
1993:09;0,14;0,08;0,04;0,11;0,36;0,11;0,25
1993:10;0,19;0,08;0,00;0,06;0,34;0,22;0,34
1993:11;0,11;0,12;0,02;0,03;0,27;0,32;0,55
1993:12;0,29;0,13;0,05;0,02;0,48;0,36;0,63
1994:01;-0,06;0,09;-0,03;0,06;0,07;0,27;0,56
1994:02;0,01;0,02;0,07;0,09;0,19;0,24;0,43
1994:03;0,39;0,25;0,05;0,26;0,94;0,40;0,42
1994:04;0,21;0,09;0,03;-0,09;0,24;0,46;0,44
1994:05;0,18;0,21;-0,04;0,06;0,40;0,53;0,60
1994:06;0,15;0,04;0,05;0,16;0,41;0,35;0,54
1994:07;0,03;0,10;-0,02;-0,08;0,04;0,28;0,40
1994:08;0,25;0,08;0,07;0,38;0,77;0,40;0,42
1994:09;0,06;0,11;0,02;-0,09;0,11;0,31;0,31
1994:10;0,32;0,11;0,06;0,10;0,60;0,49;0,57
1994:11;0,21;0,12;0,01;0,15;0,48;0,40;0,51
1994:12;0,30;0,11;0,02;0,15;0,58;0,55;0,69
1995:01;0,03;0,03;-0,01;0,04;0,09;0,38;0,52
1995:02;-0,09;-0,03;-0,09;-0,06;-0,26;0,14;0,24
1995:03;0,00;-0,03;0,03;-0,09;-0,09;-0,09;-0,04
1995:04;-0,17;-0,14;-0,05;-0,18;-0,55;-0,30;-0,29
1995:05;0,06;-0,13;0,05;0,04;0,01;-0,21;-0,19
1995:06;0,05;0,04;0,06;0,05;0,20;-0,11;-0,05
1995:07;-0,26;-0,03;-0,04;-0,25;-0,57;-0,12;-0,05
1995:08;0,32;0,05;0,04;0,30;0,71;0,12;0,11
1995:09;0,12;0,04;0,01;-0,06;0,11;0,08;0,06
1995:10;-0,19;0,03;-0,06;-0,07;-0,29;0,18;0,07
1995:11;-0,05;-0,07;0,09;0,05;0,02;-0,05;-0,03
1995:12;-0,01;-0,02;0,06;0,04;0,07;-0,07;0,00
1996:01;-0,34;-0,16;-0,09;-0,27;-0,86;-0,26;-0,07
1996:02;0,39;0,22;0,09;0,00;0,71;-0,03;0,06
1996:03;-0,17;-0,03;0,04;0,02;-0,13;-0,10;-0,08
1996:04;0,28;0,01;0,04;0,06;0,39;0,32;0,26
1996:05;0,17;0,09;0,03;0,09;0,37;0,21;0,24
1996:06;0,25;0,17;0,00;-0,08;0,34;0,37;0,42
1996:07;-0,06;-0,01;0,02;0,08;0,03;0,25;0,39
1996:08;0,07;0,10;0,04;-0,02;0,19;0,19;0,35
1996:09;0,19;0,04;0,03;0,03;0,29;0,17;0,35
1996:10;-0,10;0,02;0,03;0,07;0,02;0,16;0,32
1996:11;0,27;0,08;0,01;0,10;0,45;0,25;0,39
1996:12;0,19;0,02;0,01;-0,18;0,04;0,17;0,31
1997:01;-0,01;0,03;0,04;0,20;0,27;0,25;0,41
1997:02;0,36;0,12;0,03;0,26;0,77;0,36;0,44
1997:03;0,21;0,11;0,03;-0,08;0,28;0,44;0,54
1997:04;-0,09;0,07;-0,03;0,11;0,06;0,37;0,46
1997:05;0,19;0,06;-0,02;-0,05;0,18;0,17;0,36
1997:06;0,09;0,04;0,08;0,17;0,37;0,20;0,39
1997:07;0,28;0,08;0,09;0,15;0,61;0,39;0,58
1997:08;0,33;0,00;0,04;-0,09;0,28;0,42;0,57
1997:09;0,25;0,20;0,01;0,14;0,60;0,49;0,60
1997:10;0,31;0,13;0,03;-0,06;0,41;0,43;0,51
1997:11;0,22;0,16;0,06;0,16;0,60;0,54;0,62
1997:12;0,08;0,03;0,05;-0,14;0,02;0,34;0,46
1998:01;0,16;0,11;0,01;0,01;0,29;0,31;0,43
1998:02;-0,02;0,04;0,07;0,21;0,31;0,21;0,31
1998:03;-0,07;-0,01;0,07;0,00;-0,01;0,19;0,17
1998:04;0,09;0,05;0,09;-0,04;0,19;0,16;0,18
1998:05;0,11;0,10;0,07;0,01;0,29;0,15;0,19
1998:06;-0,28;-0,04;0,08;-0,20;-0,44;0,01;0,15
1998:07;-0,25;-0,12;0,01;-0,11;-0,47;-0,21;-0,15
1998:08;0,65;0,15;0,04;0,19;1,03;0,04;-0,15
1998:09;-0,17;-0,03;0,10;0,06;-0,04;0,17;0,02
1998:10;0,14;-0,02;0,11;0,03;0,26;0,42;0,28
1998:11;-0,11;0,06;0,06;0,01;0,03;0,08;0,17
1998:12;0,02;0,04;0,13;0,03;0,22;0,17;0,21
1999:01;0,08;0,02;0,02;-0,03;0,09;0,11;0,07
1999:02;0,18;0,01;0,10;0,19;0,48;0,26;0,24
1999:03;-0,05;-0,05;0,07;-0,08;-0,11;0,16;0,09
1999:04;-0,01;0,01;0,05;-0,05;-0,01;0,12;0,09
1999:05;0,19;0,05;0,08;0,20;0,53;0,14;0,16
1999:06;-0,10;-0,03;0,05;-0,01;-0,09;0,14;0,21
1999:07;0,08;0,05;0,04;-0,01;0,17;0,20;0,32
1999:08;0,15;0,01;0,08;0,09;0,33;0,14;0,19
1999:09;-0,19;-0,02;0,05;-0,04;-0,20;0,10;0,14
1999:10;0,46;0,09;0,03;0,18;0,75;0,29;0,30
