"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Support activities for mining  (NAICS = 213); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G213.A,IP.G213.A,,,,,,,,,,,,,142.2294,145.4951,172.7220,192.3111,206.6604,244.4182,268.4720,283.5511,343.6038,423.8899,358.9580,284.1378,323.5536,299.1648,167.9683,168.2252,191.7394,182.9742,197.6939,172.1557,142.9239,165.1377,158.8121,159.6734,177.0627,191.3204,166.4500,130.4416,155.8650,151.4118,125.4860,138.9223,149.6927,163.2683,181.1381,183.2669,194.5175,126.6606,148.0717,173.6523,182.7439,176.2247,181.8795,120.0777,76.7160,100.0000,115.9543,112.2620,63.3356,74.7645,93.0342
"Drilling oil and gas wells  (NAICS = 213111); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N213111.A,IP.N213111.A,,,,,,,,,,,,,101.0356,95.0706,110.4663,124.6554,140.3922,178.2425,198.5960,211.7618,250.4212,300.8445,264.7384,205.1338,223.3928,204.6337,99.6895,96.1225,115.4272,100.4822,106.3518,82.8138,65.8219,83.2815,83.7241,81.5572,92.8272,109.4663,100.6834,81.9611,98.5932,116.9919,86.0271,100.5003,110.9546,122.8219,140.9127,147.0816,158.2966,102.0128,114.8626,142.0701,161.1393,161.2596,174.2293,121.9236,70.2126,100.0000,129.3180,128.0600,75.4081,88.2039,102.0470
"Electric power generation, transmission, and distribution  (NAICS = 2211); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G2211.A,IP.G2211.A,,,,,,,,,,,,,36.7225,40.1708,40.4707,42.4626,45.2768,48.4216,49.9177,50.9164,51.7378,53.0616,51.7399,53.2219,56.3386,58.6449,59.8892,62.8059,66.6046,68.6289,70.6569,72.3720,72.0580,74.4565,76.1471,78.9835,80.9438,81.0442,84.5153,87.1288,89.6148,89.4263,92.0218,93.7489,95.6422,98.3446,98.7361,101.2574,100.5690,97.5589,101.4851,101.0272,99.1832,100.1723,101.1857,101.0426,100.9949,100.0000,103.7038,102.5246,100.0153,102.1191,104.8499
"Electric power generation  (NAICS = 22111); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G22111.A,IP.G22111.A,,,,,,,,,,,,,35.4700,39.4492,40.2080,43.2616,46.7292,51.0533,52.2452,53.0580,53.8314,55.0647,53.4325,54.8807,58.3399,61.8685,63.2897,66.6723,71.7040,73.9313,76.5353,78.3879,78.1975,80.2719,82.0833,85.4959,87.1522,86.2122,90.4348,93.9397,96.3406,95.4454,98.4927,98.4552,100.6274,102.6742,102.9377,105.3145,104.3519,100.9233,104.4663,103.5419,101.1266,101.8603,102.5125,101.9144,101.2007,100.0000,103.0042,101.4998,97.5899,99.2776,101.2610
"Hydroelectric, renewables, and other  (NAICS = 221111,4-8); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G221111A4T8.A,IP.G221111A4T8.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7668,59.7057,58.8180,60.2234,65.4860,58.5681,62.8453,69.5183,69.6022,84.6699,78.2726,80.0448,80.7710,80.2436,88.1792,100.0000,101.3888,103.2842,108.2758,107.8908,118.8571
"Hydroelectric power generation  (NAICS = 221111); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221111.A,IP.N221111.A,,,,,,,,,,,,,96.8513,97.2814,107.5354,106.9253,100.6382,78.1922,99.4450,99.0489,97.3219,92.0629,109.1420,115.9410,112.7213,98.9496,102.1758,87.8668,77.3803,93.2503,99.1093,96.8538,83.8438,92.9462,85.7535,103.5792,115.3816,118.7526,107.3583,105.6435,90.2235,69.7651,86.8647,89.9228,87.5204,89.1231,95.7837,81.6829,84.1732,91.2258,86.5632,106.4242,91.6937,89.0547,86.0824,83.0489,88.6105,100.0000,97.6837,96.2932,95.1433,83.9041,87.2249
"Renewables and other electric power generation  (NAICS = 221114-8); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221114T8.A,IP.N221114T8.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4889,15.6545,16.0541,16.7193,17.5689,20.1930,22.5241,28.6772,34.0426,40.2564,47.4906,53.9452,63.3175,70.4138,74.8404,87.4272,100.0000,107.8535,115.4825,131.1886,149.7329,174.0299
"Fossil Fuel electric power generation  (NAICS = 221112); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221112.A,IP.N221112.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8064,107.9723,109.0972,111.5466,115.6732,114.5184,119.1455,116.2884,108.4526,114.4958,110.6854,109.6117,108.6462,109.0217,108.0409,104.6159,100.0000,104.8719,101.6666,95.2690,98.9883,100.7413
"Nuclear electric power generation  (NAICS = 221113); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N221113.A,IP.N221113.A,,,,,,,,,,,,,6.5785,10.3695,14.1463,21.4158,23.6599,31.1645,34.3304,31.7474,31.1038,33.8812,35.1162,36.4799,40.5958,47.6678,51.4386,56.5715,65.2812,65.7011,71.7080,76.0920,76.6708,75.8542,79.5603,83.6325,83.5892,78.1102,83.6963,90.5787,93.3979,95.5314,96.9106,94.9834,97.6777,97.1375,97.8081,100.2025,99.8694,99.2474,100.2659,98.1889,95.2989,98.0124,99.0340,99.0374,99.8208,100.0000,100.2723,100.5632,97.8678,96.6974,95.8572
"Electric power transmission, control, and distribution  (NAICS = 22112); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G22112.A,IP.G22112.A,,,,,,,,,,,,,37.6172,40.5778,40.4849,41.5986,43.8922,46.1579,47.8635,49.0032,49.8627,51.2627,50.2113,51.7205,54.5331,55.7515,56.8381,59.3335,61.9698,63.8060,65.2811,66.8707,66.4336,69.1349,70.7134,73.0495,75.2682,76.3467,79.1030,80.8926,83.4269,83.8097,85.9994,89.2606,90.8971,94.1797,94.6810,97.3419,96.9207,94.3180,98.6033,98.5708,97.2664,98.4957,99.8444,100.1547,100.7894,100.0000,104.4023,103.5478,102.4368,104.9558,108.4340
"Commercial and other electricity sales  (NAICS = 22112pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N22112C.A,IP.N22112C.A,,,,,,,,,,,,,25.0202,27.1407,26.8539,28.5764,29.9985,31.3543,32.4091,33.1306,34.0710,36.3272,37.1080,37.8230,40.0282,42.2429,43.9543,46.1181,47.3012,49.4976,51.3456,52.2683,52.0062,53.7417,55.9457,58.0350,59.7252,62.5373,65.0055,67.2432,70.3509,72.4545,73.4703,79.3239,81.7352,84.9682,87.0279,89.8511,90.4904,89.4131,91.5785,92.2535,93.0599,94.5929,96.5037,98.0946,99.6339,100.0000,103.0748,103.2308,100.3047,104.4302,108.8944
"Industrial electricity sales  (NAICS = 22112pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N22112M.A,IP.N22112M.A,,,,,,,,,,,,,64.6113,69.7031,69.7232,69.4216,76.6463,79.8578,82.1985,85.5333,82.5010,83.8915,75.6068,78.8377,85.3998,84.8531,82.1927,85.8751,91.0042,94.1154,95.1366,95.9754,98.0758,99.9811,100.8254,102.8849,104.6794,104.9128,105.6630,107.5098,108.1217,101.2508,100.6034,102.8523,103.4087,103.5414,102.8782,104.4228,102.5621,93.2052,98.6715,100.7130,100.1438,100.1071,101.3490,100.2245,99.2296,100.0000,101.6636,101.8343,97.1755,101.6576,102.3605
"Residential electricity sales  (NAICS = 22112pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N22112R.A,IP.N22112R.A,,,,,,,,,,,,,38.9872,41.8708,41.9776,42.8141,43.9887,46.8024,48.9223,49.5282,52.0403,52.3894,52.9158,54.4696,56.1436,57.0937,59.3142,61.6266,64.7102,65.5699,66.8390,69.4739,67.7507,71.7914,72.9558,75.6177,78.5183,78.0304,81.8002,83.0468,85.6726,87.1583,91.7696,92.6542,93.9437,98.5913,98.0323,100.9860,100.1461,98.9925,104.7557,103.2027,99.7002,101.1725,102.0716,101.8459,102.3509,100.0000,106.5604,104.4711,106.2349,106.6615,110.3900
"Natural gas distribution  (NAICS = 2212); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.G2212.A,IP.G2212.A,,,,,,,,,,,,,108.5021,104.1109,100.6333,94.1288,93.1304,89.9495,90.7071,93.0556,91.0961,89.0337,83.6371,78.3106,83.1850,79.7575,75.8082,79.3062,84.1419,87.2123,84.2524,86.5477,88.9525,92.3243,92.9467,95.3472,99.9191,97.9666,91.5779,94.2078,97.0353,95.6920,98.5531,99.0381,97.2703,95.6248,90.7485,97.4330,99.4216,97.6265,99.5075,99.7253,93.7040,104.9366,108.4193,102.6783,99.2397,100.0000,112.1506,113.5548,106.8673,108.2394,114.5838
"Commercial and other gas sales  (NAICS = 2212pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N2212C.A,IP.N2212C.A,,,,,,,,,,,,,81.7525,82.5319,80.7561,79.2607,83.8504,79.0238,81.1635,87.0823,82.5284,79.6973,80.8031,76.8672,79.7648,75.4659,73.2582,76.7888,84.3853,85.8787,82.8767,86.2217,88.5654,90.4241,91.4808,95.7805,99.7989,101.5895,94.7824,96.2096,99.7127,96.2267,99.3541,100.2678,98.3959,94.7643,89.4906,95.6395,99.6181,98.5457,98.0402,99.7063,91.4780,104.1296,109.5334,101.1730,98.2611,100.0000,111.0390,111.0582,100.1687,104.2219,111.3755
"Industrial gas sales  (NAICS = 2212pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N2212M.A,IP.N2212M.A,,,,,,,,,,,,,87.9691,82.6352,79.3195,67.9124,63.5005,62.4577,62.2704,63.8215,63.5075,63.2343,55.1231,51.3276,55.7066,53.3710,48.7568,53.6135,54.9739,57.9254,59.9672,60.2074,61.7423,63.8386,66.4199,70.1832,69.4991,70.5176,70.4730,70.9374,73.5377,73.9383,76.7516,71.9897,73.4893,72.7249,74.1679,78.6206,77.9153,76.7834,82.8697,84.9460,94.6083,91.8838,92.2525,99.3519,102.2016,100.0000,110.5587,115.5227,115.9024,115.7802,121.6724
"Residential gas sales  (NAICS = 2212pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N2212R.A,IP.N2212R.A,,,,,,,,,,,,,114.7630,110.5605,108.4474,111.1416,115.0031,109.6738,111.0957,111.3703,107.6430,103.5018,105.3220,98.6975,103.2209,99.0981,97.9648,97.7685,104.9172,108.3230,99.5016,103.2252,106.2707,111.5500,109.8425,109.9018,118.7635,112.9257,102.4235,107.0775,109.4497,108.4164,110.7742,115.0914,110.5784,109.3684,98.9408,107.5230,110.8524,108.2836,108.3630,106.8079,94.0225,110.9679,115.2752,104.5219,98.4879,100.0000,113.2379,113.7129,105.9170,106.8630,113.0682
"Gas transmission  (NAICS = 2212pt.); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MINING_AND_UTILITY_DETAIL/IP.N2212T.A,IP.N2212T.A,,,,,,,,,,,,,91.9019,87.4870,83.7393,76.3499,74.2300,72.0143,72.5505,74.5801,73.3514,71.6241,66.4531,62.1180,66.2561,63.7840,59.5987,63.5127,66.5443,69.3995,69.0827,70.2529,72.1284,74.5072,76.4200,79.6426,81.0627,81.0546,78.5167,79.7760,82.7587,81.6389,84.9334,82.4422,82.6081,81.2726,79.9998,85.1808,85.8152,84.4562,88.7941,90.2310,94.1472,96.4227,98.0210,100.4067,101.1365,100.0000,111.0512,114.7064,112.4382,112.9777,119.0683
"Total index; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B50001.A,IP.B50001.A,23.2738,23.4306,25.3774,26.8828,28.6952,31.5604,34.3473,35.0794,37.0362,38.7544,37.4658,37.9910,41.6430,45.0581,44.9266,40.9238,44.1511,47.5274,50.1422,51.6434,50.3066,50.9677,48.3259,49.6478,54.0735,54.7358,55.2904,58.1726,61.1827,61.7368,62.3310,61.4119,63.2086,65.2849,68.7223,71.9066,75.1711,80.5740,85.3080,89.0460,92.4951,89.6767,89.9785,91.1422,93.5782,96.7144,98.9224,101.4562,97.9417,86.8092,91.6213,94.5035,97.3878,99.3462,102.3290,100.8807,98.6972,100.0000,103.1501,102.4293,95.0682,99.2450,102.6074
"Final products and nonindustrial supplies; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B50030.A,IP.B50030.A,24.9202,25.1737,27.1631,28.6934,30.3791,33.1241,36.0317,37.5286,39.3493,40.8162,39.5518,40.1085,43.8249,47.1242,46.9890,43.6604,46.7462,50.5938,53.6161,55.3936,54.6208,55.7232,54.2696,55.8046,60.5090,62.0185,63.2144,66.4104,69.6111,70.3350,71.1541,70.0736,71.9334,74.2592,77.5312,80.6579,83.8494,89.4271,94.6491,97.4871,100.5243,98.0281,97.6114,98.8527,100.9767,105.0952,107.7150,109.6744,104.9842,92.7401,95.7667,97.7522,99.5208,100.2076,101.3817,100.6635,99.3472,100.0000,101.8876,100.1916,94.1291,98.4833,101.8266
"Final products; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B50002.A,IP.B50002.A,23.8422,24.0351,26.0698,27.5579,29.1172,31.9787,35.0146,36.4277,38.1762,39.3904,37.9820,38.3223,41.5983,44.8195,44.8060,42.1908,45.1996,48.8947,51.8904,53.6291,53.3854,54.6449,53.4154,54.4850,59.0181,60.5122,61.4231,64.3025,67.7520,68.5127,69.2201,68.4141,70.1899,72.4104,75.5048,78.6997,81.7675,87.2957,92.4958,95.0462,97.9353,96.0421,95.4536,96.7305,98.7141,102.7520,105.5688,108.0376,104.1529,93.3678,96.4018,98.7086,100.6034,100.8183,101.8991,101.1858,99.2272,100.0000,101.9161,100.2999,93.9320,98.2527,101.7084
"Consumer goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51000.A,IP.B51000.A,33.7096,34.3975,36.7228,38.7541,40.9276,44.1377,46.3887,47.5396,50.3797,52.2734,51.6647,54.6406,59.0511,61.7084,59.9700,57.4625,62.1898,66.1185,68.2000,67.1274,64.5175,64.9462,64.7444,67.1395,70.2629,70.9054,73.2796,76.4069,79.2587,79.5846,79.9226,79.7596,82.2548,84.8020,88.3837,90.8278,92.4255,95.8657,99.4130,101.5514,103.4878,102.4897,104.5791,105.9569,107.1235,109.8980,110.5194,110.5602,104.7710,96.8861,98.1909,99.2999,97.9694,98.5713,99.4085,100.8125,101.2893,100.0000,100.6372,100.2259,96.8869,101.1201,102.9801
"Durable consumer goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51100.A,IP.B51100.A,20.6476,20.3437,22.9954,24.9665,26.8418,31.4438,33.3046,32.0084,35.6550,37.1744,34.2875,38.8462,43.4711,46.8858,42.6893,38.6057,43.6282,49.0943,50.3524,48.5260,42.1646,42.7490,40.2348,44.7040,50.0765,50.0478,53.0982,56.3757,59.0474,60.4381,58.6228,55.8236,61.2026,66.1965,72.2955,74.9964,77.2253,82.5487,88.5337,95.4703,98.2857,93.7194,99.9017,102.8911,104.3915,104.8217,104.1171,103.8025,91.5515,73.6066,81.4762,84.6990,86.6938,91.2642,95.7087,99.3594,101.0837,100.0000,102.5741,100.8722,95.4054,104.8146,107.2442
"Automotive products; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51110.A,IP.B51110.A,20.1128,18.3502,22.2223,24.3297,25.5163,31.4349,31.3152,27.5116,32.7801,32.9261,27.7071,35.3166,38.0721,41.5421,36.0069,34.4158,39.2150,44.4935,44.2851,39.8900,30.5881,31.5190,30.5495,35.6194,39.8694,39.6399,42.6318,45.8310,47.9539,49.6009,46.7033,43.6828,50.5587,55.7014,61.1944,62.4288,63.5023,68.5488,73.5292,81.7926,83.1580,79.6156,88.1926,92.3971,91.7445,88.9993,85.7145,88.0944,73.0402,58.2077,70.9096,75.8987,78.7868,85.0609,92.4343,97.7868,99.6601,100.0000,103.4238,101.8178,94.3815,104.0172,107.7358
"Autos and trucks, consumer; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51111.A,IP.B51111.A,,,,,,,,23.6423,28.9168,28.3542,22.3897,30.7318,32.7355,38.2352,28.9126,26.8111,36.2631,40.8818,42.0234,37.5049,23.4543,22.7733,21.1746,29.2256,35.1552,35.8682,41.3886,43.5344,45.4971,47.9583,42.8980,38.3451,45.0952,51.8330,59.7841,59.0200,58.3292,63.9813,69.3289,81.0077,80.2942,77.3707,88.7375,95.0652,92.5100,88.4105,84.5384,85.1682,63.6589,47.5383,65.0323,71.9442,77.1341,86.3149,95.3981,101.4944,104.5047,100.0000,104.4084,103.5997,99.0620,105.2898,113.6776
"Auto parts and allied goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51112.A,IP.B51112.A,20.2616,21.1530,23.0639,24.4152,27.2786,29.8693,32.3054,32.4016,35.8812,38.4363,37.4579,40.1735,44.6799,45.2804,44.6858,43.6752,43.1171,49.2352,47.4372,43.1362,38.8572,41.3913,40.9518,43.4216,46.1219,44.8859,45.0887,49.6781,52.0522,52.4974,52.7830,52.0564,59.1473,62.1271,64.4371,68.4403,72.0747,76.1906,80.6098,83.9594,88.3598,83.8871,88.3602,89.1050,91.5066,90.7726,88.3206,93.4616,88.9075,76.0166,79.9919,81.7411,81.2078,83.3519,88.4100,92.7644,93.1020,100.0000,102.1219,99.4887,88.4888,102.2123,100.3869
"Other durable goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51120.A,IP.B51120.A,23.3538,24.0664,26.1454,28.2103,30.8021,34.9342,38.4785,38.9722,41.7356,44.4993,43.1457,45.6861,52.2761,55.9201,52.5884,45.8992,51.5759,57.6990,60.4272,60.8396,56.6029,56.9088,52.6743,56.8190,63.6795,63.8543,67.1403,70.6682,74.0712,75.2240,74.5813,71.9440,75.7062,80.7231,87.7487,92.2465,95.9158,101.6778,109.0415,114.4775,119.1677,113.2318,116.3795,117.6860,122.1398,126.6678,129.1823,125.4085,116.6725,94.4986,95.1131,95.8016,96.6459,99.0617,99.8557,101.3871,102.9230,100.0000,101.4917,99.6726,96.6134,105.7407,106.6285
"Computers, video and audio equipment; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51121.A,IP.B51121.A,,,,,,,,0.8958,0.9700,1.0063,0.9069,1.0046,1.1416,1.3345,1.2291,1.0673,1.2541,1.4715,1.6361,1.6444,1.6980,1.7810,1.5651,2.2037,2.7745,2.9085,3.5348,3.4666,4.2725,4.8122,5.1849,5.7828,6.7140,8.3935,11.4000,16.5063,19.5401,27.4784,36.2606,45.3173,52.3022,55.5614,57.2261,63.6327,75.0409,85.7623,103.9007,112.3967,126.9795,107.8933,74.8218,79.1723,87.6606,93.9560,91.7718,98.9478,100.5049,100.0000,114.8910,127.2023,134.3061,154.2950,163.5725
"Appliances, furniture, and carpeting; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51122.A,IP.B51122.A,,,,,,,,62.4016,66.9946,70.6467,69.9537,73.8629,86.7023,93.8002,85.5459,73.5670,82.9230,93.1443,98.1019,98.6534,91.9538,90.6834,81.9726,90.5086,100.6250,100.0892,104.9374,110.7146,112.7020,113.6883,110.8156,103.2608,109.1801,115.3192,123.4173,122.9492,124.1270,129.8626,138.4839,142.9461,146.9135,140.6201,143.9194,144.0773,148.5451,151.4199,146.8037,137.7197,119.8512,91.1475,90.1174,89.6421,92.2815,94.2419,95.8171,100.0350,101.4685,100.0000,98.3763,93.6309,91.7100,99.0423,93.4668
"Household appliances; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B511221.A,IP.B511221.A,,,,,,,,53.4402,57.0968,61.5446,62.7252,64.9078,73.9209,82.8935,77.6147,63.5314,72.3518,79.5514,81.9212,83.8659,77.4722,76.3879,66.5363,71.2278,82.5224,79.3999,81.2464,83.6860,89.2550,92.6889,87.8819,80.3100,84.7194,92.3970,105.2976,101.2928,103.6485,103.0441,111.8529,111.3063,118.2357,112.9858,113.5890,120.4202,124.3673,122.2527,119.8487,117.3120,102.5807,84.6672,83.9770,82.1109,84.5307,83.5811,86.4173,91.8957,96.4875,100.0000,99.6410,98.4093,97.3748,110.5171,101.7481
"Carpeting and furniture; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B511222.A,IP.B511222.A,43.8796,43.0443,48.1294,51.6601,56.3318,60.7624,64.4524,64.6079,69.6008,72.0959,69.5045,74.7993,90.1430,95.3808,85.6025,75.8452,84.9463,96.7122,103.2520,102.7523,96.2743,94.9498,87.5579,98.3170,106.8153,108.2325,114.9443,122.6601,122.3162,121.7733,120.1973,112.9628,119.5531,124.6077,129.7013,131.2533,131.7681,140.6614,149.0136,155.8205,158.3466,151.6441,156.0834,153.4371,158.1111,162.9028,157.4473,145.9437,126.8397,93.9925,92.8213,92.9242,95.6586,98.9179,99.9343,103.5942,103.6532,100.0000,97.8182,91.4781,89.0969,93.2613,89.4881
"Miscellaneous durable goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51123.A,IP.B51123.A,33.6262,35.1083,37.1886,39.8570,42.8644,48.6200,53.1859,54.8310,58.4499,63.2484,61.0456,64.3468,72.2503,75.5990,72.8379,64.2203,71.6370,79.4612,82.3116,82.9523,76.1858,77.1365,72.7629,74.9095,83.0103,83.1574,85.9102,91.1716,95.2457,95.7385,94.7877,91.3672,94.4484,98.5972,104.2674,107.4336,111.1675,113.2359,117.2183,120.1574,123.6938,114.7547,118.2050,118.3250,120.6097,124.1895,126.2525,122.2599,113.2256,93.7359,100.3931,101.1582,100.0057,102.1406,102.8970,102.3380,103.9260,100.0000,102.0712,100.8165,96.3843,105.8267,110.2024
"Nondurable consumer goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51200.A,IP.B51200.A,40.3186,41.6437,43.5952,45.5696,47.8135,49.8752,52.2520,54.9464,57.1144,59.0580,60.0298,61.7497,65.7150,67.6074,67.7274,66.4773,70.6720,73.2652,75.7683,75.2716,75.2942,75.5935,76.9362,77.8154,79.3369,80.3588,82.2379,85.1536,88.0041,87.7137,89.2323,90.5110,91.3811,92.5909,94.8261,97.1002,98.3648,100.8260,103.1414,103.0695,104.6040,105.0759,105.4443,106.1240,107.1456,110.7490,111.8233,111.9868,108.4829,104.1722,103.2022,103.6297,101.3088,100.7365,100.5039,101.2436,101.3500,100.0000,100.0892,100.0356,97.3061,100.0709,101.7749
"Nondurable nonenergy consumer goods; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51210.A,IP.B51210.A,,,,,,,,59.7679,61.8392,63.6131,64.2480,65.8837,70.2171,72.4493,72.1949,70.2759,74.8530,77.5889,80.5668,79.4155,80.3155,80.8541,82.5348,83.5882,85.0118,86.3886,88.5300,91.6580,94.3565,93.8795,96.0525,97.1388,98.4728,99.2396,101.8870,104.2941,104.9875,108.3349,111.3835,110.5622,112.1063,112.4412,111.9985,112.7620,113.6582,117.4372,118.7531,117.5244,112.9751,107.2244,105.3566,105.6453,103.5125,100.8233,100.5540,102.0630,101.5808,100.0000,98.8383,99.0871,98.0207,100.1938,101.3414
"Foods and tobacco; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51211.A,IP.B51211.A,43.1322,44.2644,45.6560,47.1813,49.2962,50.4205,52.1463,54.3114,55.7526,57.2648,58.0573,59.7865,63.1887,64.7264,65.2557,64.0137,68.1944,69.5942,72.1150,71.5101,72.5937,72.7998,75.3499,75.3995,76.2762,78.5988,79.8764,81.7000,84.0973,83.5319,85.8528,86.3384,87.7171,87.0549,90.4709,92.7969,92.5016,94.1073,96.7210,94.8105,96.1581,96.2292,94.3579,95.4441,96.6656,99.9224,100.1262,99.9844,96.7277,95.3351,95.5743,95.5831,95.8026,97.1988,96.7951,98.5246,99.2570,100.0000,99.1675,98.9616,99.1166,100.7469,101.5648
"Clothing; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51212.A,IP.B51212.A,510.0568,518.3466,540.5615,558.9109,580.2874,608.1840,620.7118,626.1748,648.9315,658.4709,639.3918,635.7114,691.8052,705.0045,661.1172,643.5500,677.5171,710.7322,727.7585,686.9826,698.8856,698.9392,696.9806,716.9847,719.5878,689.4430,689.5668,696.3821,686.2376,655.2816,643.7814,641.6714,656.7366,668.9397,681.1228,677.8836,659.9893,658.2995,625.4503,599.5047,579.8722,517.5651,396.6886,373.7000,316.0961,303.5712,294.3842,236.4963,191.0411,139.7610,138.1960,135.1331,128.3755,118.4160,113.1921,107.6391,102.6883,100.0000,96.4294,97.0197,82.3070,92.1032,92.1568
"Chemical products; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51213.A,IP.B51213.A,16.7586,18.0079,19.5717,21.4447,22.7368,25.1156,27.4801,29.2359,31.9509,33.5171,36.4404,38.4772,42.0655,45.2596,47.7246,45.9958,50.0479,52.1045,55.3138,55.4983,55.2934,56.1160,56.2807,56.8887,58.2170,58.8232,63.3812,68.3270,72.4310,73.8935,76.6531,79.3898,79.1634,81.3251,83.1057,86.6475,90.8773,95.9912,100.8011,102.5481,106.3795,112.3186,121.6491,124.5825,127.6948,134.3623,139.2003,140.2085,135.2682,124.8262,118.9929,121.0329,114.2264,103.4603,104.3921,106.7919,104.6430,100.0000,98.2557,100.3711,99.3633,101.9553,104.1885
"Paper products; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MARKET_GROUPS/IP.B51214.A,IP.B51214.A,73.1219,74.1008,75.9550,77.7637,81.9194,85.1025,91.1511,97.1810,96.1490,99.5911,96.0340,97.9847,98.8109,102.0937,100.4224,94.6572,98.4481,107.6001,112.8756,114.1276,115.4707,118.3381,121.4458,126.8190,133.2634,140.0588,141.9676,150.0502,154.0548,154.7062,157.7002,158.4573,160.4308,164.1324,162.3936,163.3993,162.7376,177.1254,185.4541,189.1693,188.3495,183.0721,180.3703,173.7367,174.7856,172.8621,172.3292,165.0565,154.4004,136.2337,128.7205,125.1767,121.3243,114.7889,113.3307,109.8110,106.4641,100.0000,96.7843,92.3062,84.8512,85.9124,82.6582
