"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Printing and related support activities  (NAICS = 323); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G323.A,IP.G323.A,,,,,,,,,,,,,67.2809,70.7537,68.5660,64.0766,68.6914,74.4273,78.7841,81.1373,81.7572,83.8429,90.1921,96.8959,105.5115,109.7805,115.2995,123.8263,127.7756,128.2896,133.1315,128.9537,136.0247,136.3903,137.8679,139.9051,140.9157,143.7924,145.6098,145.0033,146.3109,141.4545,138.2471,132.7780,133.1220,132.8842,131.3805,134.1107,125.5275,105.1373,104.9988,103.3009,101.4746,101.7637,99.9575,98.9777,100.6454,100.0000,99.8132,93.6081,84.7862,85.8055,88.6287
"Petroleum and coal products  (NAICS = 324); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G324.A,IP.G324.A,,,,,,,,,,,,,63.4942,62.3882,67.3273,66.3828,73.5215,78.7034,79.4889,84.9146,75.2473,71.7669,68.5976,69.7376,71.2406,70.1905,69.8054,73.1481,75.3902,74.6137,74.6953,73.6254,73.2906,73.7829,75.8496,77.2038,79.0313,81.6549,80.0911,83.2773,82.5291,82.0448,86.4618,85.1445,90.1558,92.6068,94.2256,96.8734,92.5888,91.3921,90.5612,92.6248,92.4823,96.1737,92.6822,90.6763,96.5668,100.0000,99.8841,99.8677,78.6322,88.7249,89.8201
"Chemical  (NAICS = 325); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G325.A,IP.G325.A,,,,,,,,,,,,,51.7411,56.6329,58.8398,51.7364,57.8813,62.9878,66.1619,67.6602,63.9377,65.0028,60.8233,65.0153,68.8433,68.3009,71.3897,76.9388,81.3727,82.9195,84.8259,84.5908,85.8448,86.8547,89.1046,90.5711,92.4810,97.9280,99.5296,101.5428,103.0048,101.2358,107.0387,108.8411,113.1607,117.0230,119.8910,125.8258,116.3620,105.0510,108.5428,108.4825,107.0402,103.4292,102.3448,101.9451,101.4431,100.0000,98.6189,97.2429,95.3247,99.6925,101.9240
"Plastics and rubber products  (NAICS = 326); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G326.A,IP.G326.A,,,,,,,,,,,,,37.4183,42.2300,40.6984,34.3790,37.9750,44.8660,46.8467,46.2055,41.3487,43.7911,43.0552,46.8247,54.1078,56.2249,58.5833,64.8932,67.7580,70.0904,72.0472,71.2499,76.6982,82.1509,88.9762,91.2488,94.2591,100.0699,103.6730,109.1527,110.3113,103.9407,107.6386,107.6891,109.0424,110.2030,110.8808,107.8159,97.6832,81.6663,89.0032,90.2605,94.4826,95.6553,98.2079,99.9296,101.1937,100.0000,102.9807,101.1136,95.0268,100.9484,103.7705
"Other manufacturing; n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.GMFO.A,IP.GMFO.A,,,,,,,,,,,,,138.4073,142.7959,143.5537,136.5068,140.8233,154.3041,159.6795,163.0143,168.6405,172.6567,174.6678,179.6952,187.9557,195.3518,199.3706,210.7750,209.8469,206.9097,204.4470,196.0778,192.0713,193.4345,191.7284,191.7193,189.8889,205.9261,218.1622,224.4570,223.8531,209.3103,202.2599,196.5181,197.4045,196.7502,194.4867,183.4393,167.4026,139.9830,129.3805,123.3680,116.3398,110.5573,109.1567,105.1516,102.4969,100.0000,96.7034,92.4750,85.2790,87.3625,83.8117
"Mining  (NAICS = 21); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G21.A,IP.G21.A,63.9623,64.3637,66.2157,68.8247,71.6171,74.2605,78.2341,78.6128,81.5538,84.8081,87.0322,84.7905,86.5498,86.9962,85.7613,83.7757,84.3716,86.2988,88.9983,91.7702,93.4980,96.0807,91.3618,86.5289,92.1391,90.3631,83.7605,84.6723,86.8897,85.9634,87.1271,85.3271,83.7252,83.5322,85.0386,84.9423,86.4603,88.0988,86.4878,82.1289,83.8926,84.1023,80.2406,80.3455,80.2523,79.3047,81.2349,81.8847,83.0220,78.7276,82.4838,87.7348,94.7448,100.6317,111.2807,104.6140,91.5166,100.0000,113.3452,120.7877,102.8838,106.1252,113.4174
"Electric and gas utilities  (NAICS = 2211,2); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211A2.A,IP.G2211A2.A,20.9602,22.1414,23.7976,25.4474,27.6295,29.3260,31.5697,33.1120,35.8239,38.9576,41.3573,43.3620,46.0858,48.8341,48.7239,49.7654,52.1121,54.3203,55.6858,56.8819,57.2739,58.0677,56.1290,56.5441,59.8988,61.3852,61.9345,64.9270,68.8584,71.0115,72.4321,74.2192,74.2205,76.7420,78.3012,81.0815,83.3777,83.2250,85.5014,88.1207,90.6519,90.3261,92.9579,94.5339,95.9362,98.0191,97.6839,100.7518,100.4050,97.5498,101.2224,100.8442,98.5018,100.6824,101.9670,101.2052,100.7643,100.0000,104.8680,104.0126,101.0011,103.0159,106.2354
"Electric power generation, transmission, and distribution  (NAICS = 2211); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2211.A,IP.G2211.A,,,,,,,,,,,,,36.7225,40.1708,40.4707,42.4626,45.2768,48.4216,49.9177,50.9164,51.7378,53.0616,51.7399,53.2219,56.3386,58.6449,59.8892,62.8059,66.6046,68.6289,70.6569,72.3720,72.0580,74.4565,76.1471,78.9835,80.9438,81.0442,84.5153,87.1288,89.6148,89.4263,92.0218,93.7489,95.6422,98.3446,98.7361,101.2574,100.5690,97.5589,101.4851,101.0272,99.1832,100.1723,101.1857,101.0426,100.9949,100.0000,103.7038,102.5246,100.0153,102.1191,104.8499
"Natural gas distribution  (NAICS = 2212); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.G2212.A,IP.G2212.A,,,,,,,,,,,,,108.5021,104.1109,100.6333,94.1288,93.1304,89.9495,90.7071,93.0556,91.0961,89.0337,83.6371,78.3106,83.1850,79.7575,75.8082,79.3062,84.1419,87.2123,84.2524,86.5477,88.9525,92.3243,92.9467,95.3472,99.9191,97.9666,91.5779,94.2078,97.0353,95.6920,98.5531,99.0381,97.2703,95.6248,90.7485,97.4330,99.4216,97.6265,99.5075,99.7253,93.7040,104.9366,108.4193,102.6783,99.2397,100.0000,112.1506,113.5548,106.8673,108.2394,114.5838
"Crude processing (capacity); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5610C.A,IP.B5610C.A,,,,,,,,59.9630,64.8067,69.3402,70.9950,72.0204,78.0060,81.1537,82.4265,76.3046,79.8031,83.7439,85.8453,88.1488,88.7759,91.1146,85.9915,83.4833,89.2589,87.4412,83.0095,85.7902,88.7524,88.8837,90.1632,87.8914,87.2851,86.1175,87.6668,88.0668,87.8626,90.3012,88.5141,87.0200,86.9139,84.4974,83.0377,83.2567,84.4058,83.7001,85.5049,87.5320,86.8119,81.3679,86.5233,90.3989,96.7130,101.9475,109.8935,103.6776,94.4937,100.0000,109.1220,113.2434,99.4988,102.7187,107.8974
"Primary & semifinished processing (capacity); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B562A3C.A,IP.B562A3C.A,,,,,,,,,,,,,43.4750,47.4782,46.8152,41.4005,45.2194,48.8099,51.1881,52.2947,48.8570,48.8458,44.8334,47.0298,51.6388,52.1389,53.0361,56.1346,59.1105,59.5332,59.5852,58.5991,61.0225,63.8295,68.2041,71.8243,76.0198,81.6454,86.8793,92.7001,97.0528,93.1799,94.8896,95.8546,98.7351,101.9413,103.1742,105.4867,100.7179,85.7211,92.3060,95.1651,96.6569,98.6742,100.6335,99.5251,99.2480,100.0000,102.4689,100.1389,93.1231,97.5290,99.9490
"Finished processing (capacity); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_MAJOR_INDUSTRY_GROUPS/IP.B5640C.A,IP.B5640C.A,,,,,,,,,,,,,33.8450,36.5493,36.7960,34.7138,37.2743,40.3791,43.4566,45.3249,45.9998,47.0894,46.6510,48.1711,52.4217,54.0636,55.4400,58.2257,61.4634,62.3209,63.5121,62.9315,64.5428,66.4633,69.2458,72.6211,75.6236,81.7508,87.5987,90.0706,93.4737,91.6815,90.8053,92.5333,95.0112,99.8746,103.6057,106.7701,103.0200,92.8630,95.4368,97.7576,100.0822,99.7714,100.6773,101.2565,99.7196,100.0000,101.3769,100.4777,95.1336,99.4135,103.0305
"Durable manufacturing (NAICS); n.s.a. IP","Index:_2017_100","1","NA",G17/IP_DURABLE_GOODS_DETAIL/IP.GMFD.A,IP.GMFD.A,,,,,,,,,,,,,24.5841,27.6455,27.4517,23.8533,26.0721,28.6389,30.9038,32.3858,30.9808,31.2997,28.6002,30.0387,34.2657,35.0170,35.6187,37.7329,40.4919,40.9631,41.0925,39.8694,41.9493,44.3077,48.1188,52.0715,56.8149,63.6021,70.3150,76.3294,81.7992,78.5959,78.8593,81.0364,84.8604,89.9215,94.1868,98.9092,95.5007,77.7015,86.1751,91.4852,96.6010,98.6933,101.5379,100.4493,98.3569,100.0000,103.0592,100.1850,91.2194,96.8144,100.9563
